                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6144,                 2.3709,                 1.4912,                0.75313,                0.74917,                0.80462,                0.38806,                 1.6444,                 1.4081,                 1.3286,              0.0033283,              0.0033283,              0.0033283
                      2,                 1.5984,                 1.5635,                 1.5042,                 0.7547,                0.73418,                0.80054,                0.38665,                 1.6596,                 1.2309,                 1.3883,              0.0066228,              0.0066228,              0.0066228
                      3,                 1.6714,                 1.4942,                 1.5925,                0.74918,                0.73807,                0.76741,                0.33148,                 1.7842,                 1.2925,                 1.4721,              0.0098786,              0.0098786,              0.0098786
                      4,                 1.7153,                 1.4811,                 1.6369,                0.81581,                0.79689,                0.82134,                0.38801,                  1.751,                 1.1339,                 1.4903,              0.0098253,              0.0098253,              0.0098253
                      5,                 1.6658,                 1.3563,                 1.6055,                0.81305,                0.79689,                0.83304,                0.40923,                  1.663,                 1.1295,                 1.4541,              0.0098253,              0.0098253,              0.0098253
                      6,                 1.6342,                 1.2962,                 1.5905,                0.79035,                0.81173,                0.84107,                0.40761,                 1.6696,                 1.0808,                 1.4508,              0.0097671,              0.0097671,              0.0097671
                      7,                 1.5909,                  1.231,                 1.5649,                0.85321,                0.82131,                0.87607,                0.43581,                 1.6013,                 1.0319,                 1.4078,              0.0097088,              0.0097088,              0.0097088
                      9,                 1.5516,                 1.1454,                 1.5293,                0.87864,                 0.8678,                0.90335,                0.45061,                 1.6117,                0.90377,                 1.4069,              0.0095924,              0.0095924,              0.0095924
                     10,                 1.5366,                 1.1294,                 1.5226,                0.87957,                 0.8535,                0.88866,                0.45597,                 1.6314,                0.94215,                 1.3979,              0.0095341,              0.0095341,              0.0095341
                     11,                 1.5239,                 1.1008,                 1.5148,                0.86385,                0.86349,                0.88555,                0.45431,                 1.5896,                0.92662,                 1.3862,              0.0094759,              0.0094759,              0.0094759
                     12,                 1.5149,                 1.0762,                 1.5047,                0.86331,                0.83796,                0.88821,                0.45641,                 1.6062,                0.94226,                 1.3924,              0.0094176,              0.0094176,              0.0094176
                     13,                 1.4861,                 1.0636,                 1.4868,                0.88846,                0.84874,                0.88873,                0.47273,                 1.5345,                0.90071,                 1.3623,              0.0093594,              0.0093594,              0.0093594
                     14,                 1.4781,                 1.0305,                 1.4703,                0.86924,                0.88534,                  0.913,                0.47595,                 1.5614,                0.86768,                 1.3712,              0.0093012,              0.0093012,              0.0093012
                     15,                 1.4833,                  1.028,                 1.4752,                 0.9176,                0.87756,                0.92176,                0.48112,                 1.5526,                0.86365,                 1.3734,              0.0092429,              0.0092429,              0.0092429
                     16,                 1.4646,                 1.0018,                 1.4622,                0.90104,                0.88679,                0.91011,                0.47153,                 1.5582,                0.85375,                 1.3741,              0.0091847,              0.0091847,              0.0091847
                     17,                 1.4564,                 1.0004,                 1.4598,                0.90436,                0.87125,                0.91902,                0.49841,                 1.5527,                0.83328,                 1.3665,              0.0091265,              0.0091265,              0.0091265
                     18,                 1.4452,                0.98242,                 1.4516,                0.88932,                0.89123,                0.91325,                 0.4852,                 1.5478,                0.84728,                 1.3641,              0.0090682,              0.0090682,              0.0090682
                     19,                  1.446,                0.97517,                 1.4418,                0.86743,                0.85905,                0.89958,                 0.4801,                 1.5635,                0.85181,                  1.363,                0.00901,                0.00901,                0.00901
                     20,                 1.4279,                0.95662,                 1.4375,                0.89709,                0.88013,                0.92107,                0.49932,                 1.5359,                0.81073,                  1.353,              0.0089518,              0.0089518,              0.0089518
                     21,                 1.4272,                0.95701,                 1.4315,                0.90769,                0.87308,                0.91109,                0.49852,                 1.5024,                0.83619,                 1.3312,              0.0088935,              0.0088935,              0.0088935
                     22,                  1.422,                 0.9423,                  1.435,                0.89721,                 0.9009,                0.91918,                0.48678,                 1.5494,                0.79246,                 1.3543,              0.0088353,              0.0088353,              0.0088353
                     23,                 1.4041,                 0.9367,                  1.419,                0.86646,                0.87125,                0.90557,                 0.4777,                  1.557,                0.82982,                 1.3662,              0.0087771,              0.0087771,              0.0087771
                     24,                 1.4011,                0.91759,                 1.4253,                0.89855,                0.88901,                0.91552,                0.49352,                 1.5341,                0.80745,                 1.3546,              0.0087188,              0.0087188,              0.0087188
                     25,                 1.3992,                0.91384,                  1.411,                0.90112,                0.90011,                0.93017,                 0.5088,                 1.4963,                0.79779,                  1.313,              0.0086606,              0.0086606,              0.0086606
                     26,                  1.391,                0.90933,                 1.4031,                0.90836,                 0.8879,                0.91785,                0.50286,                 1.5027,                0.79377,                 1.3264,              0.0086024,              0.0086024,              0.0086024
                     27,                  1.393,                0.91721,                 1.4099,                0.89857,                0.89472,                0.91561,                0.50631,                  1.495,                0.82326,                 1.3256,              0.0085441,              0.0085441,              0.0085441
                     28,                 1.3737,                0.89842,                 1.3932,                0.90756,                0.88568,                0.92217,                0.50974,                 1.5166,                0.79398,                 1.3327,              0.0084859,              0.0084859,              0.0084859
                     29,                 1.3812,                 0.8836,                 1.3976,                0.92999,                0.90011,                0.92995,                0.50343,                 1.5118,                 0.7577,                 1.3367,              0.0084276,              0.0084276,              0.0084276
                     30,                 1.3847,                0.88698,                 1.4034,                0.92359,                0.90344,                0.92944,                0.51014,                 1.5029,                0.75425,                 1.3262,              0.0083694,              0.0083694,              0.0083694
                     31,                 1.3653,                0.87717,                 1.3855,                 0.9234,                0.89643,                0.93041,                0.51029,                 1.4979,                0.77062,                 1.3279,              0.0083112,              0.0083112,              0.0083112
                     32,                 1.3727,                0.87517,                 1.3946,                0.92202,                0.90553,                0.93462,                  0.523,                 1.4805,                0.76174,                 1.3164,              0.0082529,              0.0082529,              0.0082529
                     33,                 1.3519,                0.86632,                 1.3814,                0.91839,                0.89931,                 0.9256,                0.50931,                 1.4871,                0.77739,                 1.3188,              0.0081947,              0.0081947,              0.0081947
                     34,                 1.3575,                0.85644,                 1.3874,                0.89231,                0.90127,                0.92941,                0.51838,                 1.4846,                0.76242,                 1.3139,              0.0081365,              0.0081365,              0.0081365
                     35,                 1.3493,                0.85168,                  1.378,                0.92212,                0.91343,                0.93469,                0.51455,                 1.4997,                0.75968,                 1.3245,              0.0080782,              0.0080782,              0.0080782
                     36,                 1.3484,                0.84654,                  1.382,                0.91446,                0.91676,                0.92988,                 0.5148,                 1.5037,                0.74215,                 1.3254,                0.00802,                0.00802,                0.00802
                     37,                 1.3372,                0.84629,                 1.3723,                0.92873,                0.91232,                0.94123,                0.51908,                 1.4995,                0.74065,                 1.3206,              0.0079618,              0.0079618,              0.0079618
                     38,                 1.3373,                0.84494,                 1.3813,                0.92661,                0.90233,                0.93131,                0.51714,                 1.4967,                0.75796,                 1.3286,              0.0079035,              0.0079035,              0.0079035
                     39,                 1.3442,                0.83352,                 1.3787,                0.92126,                0.91454,                0.93688,                0.52489,                 1.4807,                0.74264,                 1.3143,              0.0078453,              0.0078453,              0.0078453
                     40,                 1.3363,                0.83932,                 1.3673,                0.91879,                0.90415,                0.93001,                 0.5337,                 1.4687,                 0.7423,                 1.3035,              0.0077871,              0.0077871,              0.0077871
                     41,                 1.3295,                0.82194,                 1.3613,                0.92782,                0.91311,                0.93383,                0.52429,                 1.4714,                0.72679,                 1.3025,              0.0077288,              0.0077288,              0.0077288
                     42,                 1.3253,                0.82393,                 1.3569,                0.92193,                0.90788,                0.93281,                0.52424,                 1.4672,                0.73237,                 1.3074,              0.0076706,              0.0076706,              0.0076706
                     43,                 1.3224,                0.81758,                  1.351,                0.92129,                0.91343,                0.93115,                 0.5226,                 1.4731,                0.72694,                 1.3056,              0.0076124,              0.0076124,              0.0076124
                     44,                  1.312,                0.81284,                 1.3494,                 0.9115,                0.91898,                0.92866,                0.52822,                 1.4629,                0.72403,                 1.3009,              0.0075541,              0.0075541,              0.0075541
                     45,                 1.3139,                0.80611,                 1.3432,                0.92396,                0.91676,                 0.9339,                0.53224,                 1.4525,                0.73562,                 1.2877,              0.0074959,              0.0074959,              0.0074959
                     46,                 1.3032,                0.80396,                  1.347,                0.91387,                0.91853,                0.93086,                0.53094,                 1.4633,                0.73204,                 1.2991,              0.0074376,              0.0074376,              0.0074376
                     47,                 1.3073,                0.80385,                 1.3438,                0.92841,                0.91232,                0.93392,                0.53268,                 1.4731,                0.71824,                 1.2982,              0.0073794,              0.0073794,              0.0073794
                     48,                 1.3014,                0.81412,                 1.3383,                0.92555,                0.91063,                0.93024,                0.52913,                 1.4582,                0.73585,                 1.2886,              0.0073212,              0.0073212,              0.0073212
                     49,                 1.3025,                0.80759,                 1.3459,                0.92551,                0.91012,                0.92881,                0.53615,                 1.4502,                0.74052,                 1.2891,              0.0072629,              0.0072629,              0.0072629
                     50,                 1.2988,                0.80721,                 1.3402,                0.92749,                0.90862,                0.93311,                0.53933,                 1.4361,                0.73635,                 1.2729,              0.0072047,              0.0072047,              0.0072047
                     51,                 1.2932,                0.79527,                 1.3356,                0.93024,                0.90788,                0.93718,                0.54369,                 1.4462,                0.72385,                 1.2825,              0.0071465,              0.0071465,              0.0071465
                     52,                 1.2869,                0.79319,                 1.3283,                0.93318,                0.91565,                0.93741,                0.54536,                 1.4493,                0.73523,                 1.2743,              0.0070882,              0.0070882,              0.0070882
                     53,                 1.2892,                0.78457,                 1.3284,                0.93318,                0.91445,                0.94314,                0.54256,                 1.4535,                0.72624,                 1.2888,                0.00703,                0.00703,                0.00703
                     54,                 1.2655,                0.75951,                 1.3107,                0.94296,                0.91738,                0.94209,                0.54535,                 1.4416,                0.71535,                 1.2785,              0.0069718,              0.0069718,              0.0069718
                     55,                 1.2855,                0.78232,                  1.322,                0.91744,                0.91269,                0.93429,                0.54234,                 1.4442,                0.71748,                 1.2796,              0.0069135,              0.0069135,              0.0069135
                     56,                 1.2849,                0.79456,                  1.325,                 0.9348,                0.91676,                0.94245,                0.54589,                  1.447,                0.71651,                   1.28,              0.0068553,              0.0068553,              0.0068553
                     57,                 1.2838,                0.78275,                  1.322,                0.93632,                0.91565,                0.93914,                0.54466,                 1.4368,                0.71051,                 1.2729,              0.0067971,              0.0067971,              0.0067971
                     58,                 1.2717,                0.77354,                 1.3162,                0.93494,                0.90912,                0.93381,                0.54736,                  1.436,                0.72039,                 1.2734,              0.0067388,              0.0067388,              0.0067388
                     59,                 1.2759,                0.77959,                 1.3175,                0.92785,                0.91454,                0.94127,                0.55168,                 1.4376,                0.72048,                 1.2732,              0.0066806,              0.0066806,              0.0066806
                     60,                 1.2639,                0.77541,                 1.3145,                0.92561,                 0.9101,                0.93603,                0.55093,                 1.4349,                 0.7249,                 1.2734,              0.0066224,              0.0066224,              0.0066224
                     61,                 1.2604,                0.76369,                 1.2998,                0.92294,                0.91454,                0.93845,                0.55166,                 1.4277,                  0.715,                 1.2642,              0.0065641,              0.0065641,              0.0065641
                     62,                 1.2514,                0.76457,                 1.2983,                0.93048,                 0.9212,                 0.9404,                 0.5521,                 1.4235,                0.71562,                 1.2597,              0.0065059,              0.0065059,              0.0065059
                     63,                 1.2547,                0.76184,                 1.3071,                0.93743,                0.91453,                0.93702,                0.54999,                 1.4249,                0.71566,                 1.2664,              0.0064476,              0.0064476,              0.0064476
                     64,                  1.256,                0.76039,                 1.3095,                0.94033,                0.90942,                0.93765,                0.55044,                 1.4281,                0.71344,                 1.2703,              0.0063894,              0.0063894,              0.0063894
                     65,                   1.25,                0.75916,                 1.3033,                0.94564,                0.90745,                0.94026,                0.54985,                 1.4284,                0.71257,                 1.2673,              0.0063312,              0.0063312,              0.0063312
                     66,                 1.2394,                0.75552,                 1.2978,                0.94356,                0.90899,                0.93925,                0.54759,                 1.4196,                 0.7166,                 1.2633,              0.0062729,              0.0062729,              0.0062729
                     67,                 1.2354,                0.74653,                 1.2933,                0.94487,                0.91301,                0.93804,                0.55104,                 1.4156,                0.71497,                 1.2626,              0.0062147,              0.0062147,              0.0062147
                     68,                 1.2475,                0.75096,                 1.2933,                 0.9363,                0.91362,                0.94043,                0.55401,                 1.4175,                 0.7134,                 1.2637,              0.0061565,              0.0061565,              0.0061565
                     69,                 1.2339,                  0.735,                 1.2893,                0.93708,                0.91232,                0.93998,                0.55357,                 1.4123,                0.70969,                 1.2553,              0.0060982,              0.0060982,              0.0060982
                     70,                 1.2318,                0.73989,                 1.2816,                0.93761,                0.91343,                0.94159,                0.55721,                 1.4175,                0.71233,                 1.2583,                0.00604,                0.00604,                0.00604
                     71,                 1.2274,                0.73727,                 1.2855,                0.93509,                0.90899,                0.93981,                0.55459,                 1.4163,                0.71073,                 1.2579,              0.0059818,              0.0059818,              0.0059818
                     72,                 1.2295,                0.73325,                  1.285,                0.93944,                0.91245,                0.94247,                0.55707,                 1.4178,                0.70648,                 1.2605,              0.0059235,              0.0059235,              0.0059235
                     73,                   1.21,                0.73338,                 1.2677,                0.93828,                0.90788,                0.93999,                0.55575,                  1.418,                0.70548,                 1.2597,              0.0058653,              0.0058653,              0.0058653
                     74,                  1.217,                0.73029,                 1.2758,                0.93461,                0.91232,                0.93769,                0.55585,                 1.4172,                0.70467,                  1.258,              0.0058071,              0.0058071,              0.0058071
                     75,                 1.2194,                0.73157,                 1.2821,                0.93745,                0.91483,                0.94182,                 0.5514,                 1.4182,                0.70546,                 1.2594,              0.0057488,              0.0057488,              0.0057488
                     76,                 1.2091,                0.72329,                 1.2741,                0.93348,                0.91676,                 0.9423,                0.55188,                 1.4209,                0.70124,                 1.2632,              0.0056906,              0.0056906,              0.0056906
                     77,                 1.2058,                0.71022,                 1.2733,                0.92872,                0.91105,                0.93955,                 0.5519,                 1.4221,                 0.6987,                 1.2652,              0.0056324,              0.0056324,              0.0056324
                     78,                 1.2109,                0.72433,                 1.2737,                0.92388,                0.91121,                0.93591,                0.55271,                 1.4193,                0.70126,                 1.2637,              0.0055741,              0.0055741,              0.0055741
                     79,                 1.2108,                0.72358,                 1.2729,                0.92466,                0.91121,                0.93826,                0.55259,                 1.4157,                0.69978,                 1.2616,              0.0055159,              0.0055159,              0.0055159
                     80,                 1.2086,                0.72182,                 1.2701,                0.92473,                0.91358,                0.93695,                0.55161,                 1.4133,                0.69995,                 1.2621,              0.0054576,              0.0054576,              0.0054576
                     81,                 1.1924,                 0.7113,                 1.2638,                0.92359,                0.91225,                0.93559,                0.55423,                 1.4112,                0.69975,                 1.2618,              0.0053994,              0.0053994,              0.0053994
                     82,                  1.193,                0.70718,                  1.261,                0.92938,                0.90899,                0.93678,                0.55393,                 1.4106,                0.70008,                 1.2609,              0.0053412,              0.0053412,              0.0053412
                     83,                 1.2136,                0.71484,                 1.2688,                0.93086,                 0.9101,                0.93562,                0.55369,                 1.4117,                0.69984,                 1.2612,              0.0052829,              0.0052829,              0.0052829
                     84,                 1.1862,                0.70134,                 1.2572,                0.92968,                0.90971,                0.93256,                0.55575,                  1.411,                0.69874,                 1.2613,              0.0052247,              0.0052247,              0.0052247
                     85,                 1.2013,                0.70521,                 1.2622,                0.92762,                0.91029,                0.93359,                0.55649,                 1.4099,                0.69915,                 1.2602,              0.0051665,              0.0051665,              0.0051665
                     86,                 1.1839,                0.70298,                 1.2547,                0.92864,                0.91121,                0.93159,                0.55601,                  1.411,                0.69893,                 1.2598,              0.0051082,              0.0051082,              0.0051082
                     87,                 1.1838,                 0.6922,                 1.2534,                0.93072,                 0.9101,                0.93132,                0.55581,                 1.4118,                0.69839,                 1.2589,                0.00505,                0.00505,                0.00505
                     88,                 1.1714,                0.69347,                 1.2429,                0.93053,                 0.9101,                0.93169,                0.55699,                 1.4116,                0.69868,                  1.259,              0.0049918,              0.0049918,              0.0049918
